ID,Number,Latitude,Longitude,Destination,Validity
1083,02,52.288458,21.031435,Chodecka,2020-10-12 00:00:00.0
1083,03,52.288737,21.030278,Julianowska,2020-10-12 00:00:00.0
1083,04,52.287994,21.030841,Poborzańska,2020-10-12 00:00:00.0
1083,06,52.288098,21.030107,______________________________,2020-10-12 00:00:00.0
1084,01,52.290453,21.029102,Bartnicza,2020-10-12 00:00:00.0
1084,02,52.289921,21.029526,Kondratowicza,2020-10-12 00:00:00.0
1085,01,52.293450,21.026103,null,2020-10-12 00:00:00.0
1085,02,52.293443,21.028365,null,2020-10-12 00:00:00.0
1085,03,52.293889,21.026742,Poborzańska,2020-10-12 00:00:00.0
1085,04,52.293082,21.027366,Toruńska,2020-10-12 00:00:00.0
1085,05,52.292698,21.027752,null,2020-10-12 00:00:00.0
1085,06,52.294074,21.026949,null,2020-10-12 00:00:00.0
1085,53,52.292576,21.027946,null,2020-10-12 00:00:00.0
1085,54,52.293153,21.027677,null,2020-10-12 00:00:00.0
1086,01,52.296728,21.024856,null,2020-10-12 00:00:00.0
1086,02,52.298021,21.024023,null,2020-10-12 00:00:00.0
1086,03,52.296618,21.024676,Kondratowicza,2020-10-12 00:00:00.0
1086,04,52.296821,21.024592,Annopol,2020-10-12 00:00:00.0
1086,05,52.297334,21.023333,Pelcowizna,2020-10-12 00:00:00.0
1086,06,52.297297,21.025316,Łabiszyńska,2020-10-12 00:00:00.0
1087,01,52.298487,21.021703,Toruńska,2020-10-12 00:00:00.0
1087,02,52.298511,21.021790,Toruńska,2020-10-12 00:00:00.0
1087,03,52.298540,21.021882,Toruńska,2020-10-12 00:00:00.0
1087,04,52.298571,21.022003,null,2020-10-12 00:00:00.0
1088,01,52.300638,21.021807,null,2020-10-12 00:00:00.0
1088,02,52.301604,21.021188,null,2020-10-12 00:00:00.0
1088,03,52.301462,21.021030,Toruńska,2020-10-12 00:00:00.0
1088,04,52.300960,21.021472,Odlewnicza,2020-10-12 00:00:00.0
1089,01,52.305149,21.018406,null,2020-10-12 00:00:00.0
1089,03,52.305118,21.018286,Inowłodzka,2020-10-12 00:00:00.0
1089,04,52.305542,21.018018,Faradaya,2020-10-12 00:00:00.0
1089,05,52.305630,21.017150,Faradaya,2020-10-12 00:00:00.0
1089,52,52.306267,21.017632,Faradaya,2020-10-12 00:00:00.0
1090,01,52.308341,21.015844,Odlewnicza,2020-10-12 00:00:00.0
1090,02,52.309369,21.015137,Żerań Wschodni,2020-10-12 00:00:00.0
1090,53,52.308453,21.015926,Odlewnicza,2020-10-12 00:00:00.0
1090,54,52.308083,21.016256,Żerań Wschodni,2020-10-12 00:00:00.0
1091,01,52.311005,21.012642,Faradaya,2020-10-12 00:00:00.0
1091,02,52.311062,21.012595,null,2020-10-12 00:00:00.0
1091,03,52.311115,21.012548,Faradaya,2020-10-12 00:00:00.0
1091,04,52.310638,21.014370,______________________________,2020-10-12 00:00:00.0
1091,06,52.309909,21.015913,Szlachecka,2020-10-12 00:00:00.0
1091,54,52.309863,21.014848,null,2020-10-12 00:00:00.0
1091,71,52.310297,21.014133,______________________________,2020-10-12 00:00:00.0
1092,01,52.303011,21.009646,Chłodnia,2020-10-12 00:00:00.0
1092,02,52.303942,21.009157,Daniszewska,2020-10-12 00:00:00.0
1092,04,52.303544,21.010110,Faradaya,2020-10-12 00:00:00.0
1093,01,52.306737,21.006890,Fabryka Pomp,2020-10-12 00:00:00.0
1093,02,52.306604,21.007096,Marywilska-Las,2020-10-12 00:00:00.0
1094,01,52.308760,21.005370,Daniszewska,2020-10-12 00:00:00.0
1094,02,52.309456,21.004936,PKP Żerań,2020-10-12 00:00:00.0
1095,01,52.313755,21.001456,Marywilska-Las,2020-10-12 00:00:00.0
1095,02,52.313943,21.001414,os.Marywilska,2020-10-12 00:00:00.0
1095,03,52.313448,21.001382,Cementownia,2020-10-12 00:00:00.0
1095,04,52.313614,21.002299,Płytowa,2020-10-12 00:00:00.0
1095,05,52.312491,20.999172,Cementownia,2020-10-12 00:00:00.0
1095,06,52.312732,21.000043,Marywilska,2020-10-12 00:00:00.0
1095,07,52.313925,21.002903,os.Marywilska,2020-10-12 00:00:00.0
1096,01,52.315861,20.999731,PKP Żerań,2020-10-12 00:00:00.0
1096,02,52.316792,20.999213,Marcelin,2020-10-12 00:00:00.0
1096,04,52.315475,21.001026,Marcelin,2020-10-12 00:00:00.0
1097,01,52.319208,20.997197,os.Marywilska,2020-10-12 00:00:00.0
1097,02,52.319401,20.997239,Smugowa,2020-10-12 00:00:00.0
1097,03,52.318393,20.998710,os.Marywilska,2020-10-12 00:00:00.0
1097,04,52.317851,20.999071,PKP Żerań,2020-10-12 00:00:00.0
1097,04,52.317872,20.999058,PKP Żerań,2020-12-09 00:00:00.0
1098,01,52.324397,20.993429,Marcelin,2020-10-12 00:00:00.0
